"year","season","total_athletes","female_athletes","pct_of_women"
1896,Summer,176,0,0.0
1900,Summer,1224,23,1.9
1904,Summer,650,6,0.9
1906,Summer,841,6,0.7
1908,Summer,2024,44,2.2
1912,Summer,2409,53,2.2
1920,Summer,2676,78,2.9
1924,Summer,3256,156,4.8
1924,Winter,313,13,4.2
1928,Summer,3247,312,9.6
1928,Winter,461,28,6.1
1932,Summer,1922,201,10.5
1932,Winter,252,21,8.3
1936,Summer,4484,361,8.1
1936,Winter,668,80,12.0
1948,Summer,4402,446,10.1
1948,Winter,668,77,11.5
1952,Summer,4932,521,10.6
1952,Winter,694,109,15.7
1956,Summer,3347,384,11.5
1956,Winter,821,132,16.1
1960,Summer,5352,613,11.5
1960,Winter,665,144,21.7
1964,Summer,5137,680,13.2
1964,Winter,1094,200,18.3
1968,Summer,5558,783,14.1
1968,Winter,1160,211,18.2
1972,Summer,7114,1060,14.9
1972,Winter,1008,206,20.4
1976,Summer,6073,1260,20.7
1976,Winter,1128,231,20.5
1980,Summer,5259,1123,21.4
1980,Winter,1071,235,21.9
1984,Summer,6798,1569,23.1
1984,Winter,1273,277,21.8
1988,Summer,8454,2203,26.1
1988,Winter,1425,315,22.1
1992,Summer,9386,2723,29.0
1992,Winter,1801,488,27.1
1994,Winter,1738,522,30.0
1996,Summer,10339,3517,34.0
1998,Winter,2179,789,36.2
2000,Summer,10647,4068,38.2
2002,Winter,2399,886,36.9
2004,Summer,10557,4300,40.7
2006,Winter,2494,955,38.3
2008,Summer,10899,4609,42.3
2010,Winter,2536,1033,40.7
2012,Summer,10517,4654,44.3
2014,Winter,2745,1102,40.1
2016,Summer,11179,5034,45.0
