"year","games","season","number_of_athletes","number_of_countries","number_of_events"
1896,"1896 Summer",Summer,176,12,43
1900,"1900 Summer",Summer,1224,31,90
1904,"1904 Summer",Summer,650,15,95
1906,"1906 Summer",Summer,841,21,74
1908,"1908 Summer",Summer,2024,22,109
1912,"1912 Summer",Summer,2409,29,107
1920,"1920 Summer",Summer,2676,29,158
1924,"1924 Summer",Summer,3256,45,131
1924,"1924 Winter",Winter,313,19,17
1928,"1928 Summer",Summer,3247,46,122
1928,"1928 Winter",Winter,461,25,14
1932,"1932 Summer",Summer,1922,47,131
1932,"1932 Winter",Winter,252,17,14
1936,"1936 Summer",Summer,4484,49,150
1936,"1936 Winter",Winter,668,28,17
1948,"1948 Summer",Summer,4402,59,153
1948,"1948 Winter",Winter,668,28,22
1952,"1952 Summer",Summer,4932,69,149
1952,"1952 Winter",Winter,694,30,22
1956,"1956 Summer",Summer,3347,72,151
1956,"1956 Winter",Winter,821,32,24
1960,"1960 Summer",Summer,5352,84,150
1960,"1960 Winter",Winter,665,30,27
1964,"1964 Summer",Summer,5137,93,163
1964,"1964 Winter",Winter,1094,36,34
1968,"1968 Summer",Summer,5558,112,172
1968,"1968 Winter",Winter,1160,37,35
1972,"1972 Summer",Summer,7114,121,193
1972,"1972 Winter",Winter,1008,35,35
1976,"1976 Summer",Summer,6073,92,198
1976,"1976 Winter",Winter,1128,37,37
1980,"1980 Summer",Summer,5259,80,203
1980,"1980 Winter",Winter,1071,37,38
1984,"1984 Summer",Summer,6798,140,221
1984,"1984 Winter",Winter,1273,49,39
1988,"1988 Summer",Summer,8454,159,237
1988,"1988 Winter",Winter,1425,57,46
1992,"1992 Summer",Summer,9386,169,257
1992,"1992 Winter",Winter,1801,64,57
1994,"1994 Winter",Winter,1738,67,61
1996,"1996 Summer",Summer,10339,197,271
1998,"1998 Winter",Winter,2179,72,68
2000,"2000 Summer",Summer,10647,200,300
2002,"2002 Winter",Winter,2399,77,78
2004,"2004 Summer",Summer,10557,201,301
2006,"2006 Winter",Winter,2494,79,84
2008,"2008 Summer",Summer,10899,204,302
2010,"2010 Winter",Winter,2536,82,86
2012,"2012 Summer",Summer,10517,205,302
2014,"2014 Winter",Winter,2745,89,98
2016,"2016 Summer",Summer,11179,207,306
