"sport","n","avg_height","stddev_height","avg_weight","stddev_weight"
Basketball,3675,191.2,11.5,85.8,14.8
Volleyball,3277,187.0,10.5,78.9,11.7
Beach Volleyball,538,186.2,9.4,79.1,12.2
Water Polo,2724,185.0,8.4,84.6,12.1
Rowing,7794,184.3,9.9,80.2,13.1
Handball,3335,183.4,9.7,81.5,13.3
Baseball,846,182.6,6.8,85.7,9.7
Bobsleigh,2206,181.6,6.6,89.2,10.6
Tennis,2008,178.9,9.1,70.8,10.6
Ice Hockey,4579,178.9,7.8,80.8,10.8
Swimming,18796,178.6,9.9,70.6,11.3
Canoeing,5550,178.6,8.2,76.5,9.8
Sailing,4868,178.3,8.1,76.0,12.6
Modern Pentathlon,1261,178.1,6.6,70.3,7.3
Fencing,6540,177.3,8.5,71.4,10.0
Taekwondo,596,176.8,10.0,68.1,13.5
Luge,1377,176.7,7.5,77.3,10.4
Nordic Combined,1066,176.5,5.8,66.9,5.8
Ski Jumping,1968,176.5,6.6,65.1,6.5
Athletics,32568,176.3,9.3,69.3,15.4
Skeleton,174,176.2,8.9,74.2,12.4
Cycling,7819,176.2,7.7,70.1,9.2
Rugby Sevens,297,175.4,10.2,79.0,14.7
Football,4532,175.4,7.9,70.4,8.4
Equestrianism,4553,174.4,7.7,67.8,8.6
Curling,410,174.2,8.6,72.1,12.3
Badminton,1362,174.2,8.5,68.2,9.4
Judo,3384,174.2,10.5,78.8,21.4
Speed Skating,4405,174.1,8.9,70.0,9.9
Biathlon,4615,174.1,8.5,66.6,9.5
Golf,108,174.0,8.5,71.2,11.6
Triathlon,526,173.6,8.8,61.8,8.7
Alpine Skiing,6340,173.5,7.9,72.1,11.3
Shooting,7299,173.5,8.2,74.0,13.3
Hockey,4264,173.4,8.4,69.2,9.5
Cross Country Skiing,7535,173.3,8.2,65.9,9.1
Archery,1884,173.3,8.5,70.0,12.9
Snowboarding,924,173.0,8.6,69.5,11.5
Boxing,4425,172.8,9.5,65.2,13.1
Wrestling,5246,172.4,10.1,75.5,20.1
Table Tennis,1789,171.3,9.1,64.9,10.0
Freestyle Skiing,913,170.9,8.5,67.0,11.1
Short Track Speed Skating,1488,170.1,7.9,64.3,9.2
Softball,441,169.4,6.6,67.5,9.4
Synchronized Swimming,849,168.5,5.0,55.9,4.8
Figure Skating,1512,168.1,10.0,59.5,11.7
Rhythmic Gymnastics,615,167.8,5.4,48.8,5.2
Weightlifting,3001,167.8,10.0,79.5,23.8
Diving,2013,166.7,7.9,60.6,9.3
Trampolining,149,166.6,7.1,59.3,8.2
Gymnastics,18326,162.9,8.3,56.9,9.8
